year	month	day	Taver	Tmax	Tmin	precp	labels
62	1958	1	1	-19.4	-15.1	-24.5	0.1	1958
63	1958	1	2	-17.4	-10	-22.2	0	1958
64	1958	1	3	-11.4	-6.7	-16.6	0	1958
65	1958	1	4	-16.6	-13.1	-19.5	0	1958
66	1958	1	5	-16	-11.5	-20.4	0	1958
67	1958	1	6	-11.1	-8.5	-14.3	0	1958
68	1958	1	7	-7.3	-4.7	-10.1	0.1	1958
69	1958	1	8	-9.2	-6.7	-15.1	1.1	1958
70	1958	1	9	-9.5	-7.8	-12.1	0.2	1958
71	1958	1	10	-13.1	-7.1	-22.7	2.5	1958
72	1958	1	11	-27.6	-18.9	-36.5	1.3	1958
73	1958	1	12	-34.2	-26	-40.2	0.2	1958
74	1958	1	13	-24.4	-18.2	-30.8	0	1958
75	1958	1	14	-15.5	-10.8	-19.8	0	1958
76	1958	1	15	-17.1	-15.1	-19.1	0	1958
77	1958	1	16	-13.6	-11	-17.4	0.1	1958
78	1958	1	17	-14	-11.2	-15.9	0.1	1958
79	1958	1	18	-12.3	-9.3	-16.2	0	1958
80	1958	1	19	-12	-6.9	-17.8	0	1958
81	1958	1	20	-11.2	-8	-14.5	0.1	1958
82	1958	1	21	-13.6	-7.6	-16.6	0	1958
83	1958	1	22	-16.5	-10.5	-19.5	0.1	1958
84	1958	1	23	-19.6	-15.1	-23.1	0	1958
85	1958	1	24	-20.9	-15.4	-24.5	0.1	1958
86	1958	1	25	-16.3	-8.9	-23.6	0	1958
87	1958	1	26	-18.5	-9.6	-23.6	0.2	1958
88	1958	1	27	-20.3	-16.8	-25.8	1.6	1958
89	1958	1	28	-28.1	-23.1	-33.9	0	1958
90	1958	1	29	-21.5	-15.5	-28.3	0	1958
91	1958	1	30	-13.7	-9.3	-19.8	0	1958
92	1958	1	31	-12.7	-8.6	-16.3	0	1958
93	1958	2	1	-13	-9.5	-15.8	0	1958
94	1958	2	2	-13	-8.9	-15.6	0	1958
95	1958	2	3	-11.9	-9.3	-15.5	0.1	1958
96	1958	2	4	-11.6	-5.7	-15.6	0	1958
97	1958	2	5	-10.4	-2.8	-16.3	0	1958
98	1958	2	6	-12	-8.9	-17.3	5	1958
99	1958	2	7	-16.4	-12.3	-21.6	0	1958
100	1958	2	8	-16.5	-10.8	-22	0	1958
101	1958	2	9	-17.4	-12.4	-23.2	0	1958
102	1958	2	10	-11.2	-6.1	-15.5	0	1958
103	1958	2	11	-15.1	-10.8	-19.8	0	1958
104	1958	2	12	-12.6	-6	-17.4	0	1958
105	1958	2	13	-9.1	-5.4	-14.1	0.1	1958
106	1958	2	14	-16.1	-6.2	-22.6	0.1	1958
107	1958	2	15	-14.5	-9.6	-23.9	0	1958
108	1958	2	16	-11.6	-7.2	-16.4	0	1958
109	1958	2	17	-9.8	-6	-13.7	0.1	1958
110	1958	2	18	-11.5	-8.3	-14	0.6	1958
111	1958	2	19	-8.7	-4.8	-14.9	0.1	1958
112	1958	2	20	-6	-4.2	-7.7	16.2	1958
113	1958	2	21	-11.3	-5	-17.2	2.6	1958
114	1958	2	22	-15.8	-9.1	-25.4	0.1	1958
115	1958	2	23	-12.2	-8.7	-16.5	0	1958
116	1958	2	24	-14.9	-8.6	-20.6	0	1958
117	1958	2	25	-17.3	-11.8	-23.5	0.1	1958
118	1958	2	26	-15.5	-9.8	-23.7	0	1958
119	1958	2	27	-11.9	-3.9	-17.6	0	1958
120	1958	2	28	-15.9	-8.9	-22.1	0	1958
121	1958	3	1	-13.6	-5.7	-21.6	0	1958
122	1958	3	2	-13.4	-5.9	-21	0	1958
123	1958	3	3	-9.2	-4.5	-15.5	0.6	1958
124	1958	3	4	-14.8	-8.6	-19.3	0.1	1958
125	1958	3	5	-16.7	-10.6	-23.4	0	1958
126	1958	3	6	-7.7	-2.8	-12.7	0	1958
127	1958	3	7	-3.4	0.8	-9.5	0	1958
128	1958	3	8	-5.3	-0.4	-8.8	0	1958
129	1958	3	9	-6.8	-1	-11.3	0	1958
130	1958	3	10	-4.4	1	-8.8	0.6	1958
131	1958	3	11	-9.6	-3.6	-19.2	2	1958
132	1958	3	12	-17.7	-8.4	-24.4	0	1958
133	1958	3	13	-11.5	-4.6	-20.2	1.1	1958
134	1958	3	14	-10	-4.7	-11.8	0.6	1958
135	1958	3	15	-14.3	-6.4	-23	0.2	1958
136	1958	3	16	-11.5	-5.4	-20.4	1.3	1958
137	1958	3	17	-1.5	-0.3	-6.1	2.2	1958
138	1958	3	18	-12.1	-0.1	-17.9	0.5	1958
139	1958	3	19	-6.3	0.3	-12.4	0	1958
140	1958	3	20	-0.2	3.4	-5.4	1.8	1958
141	1958	3	21	-5.7	1.1	-9.8	0.3	1958
142	1958	3	22	-15	-4.6	-18.7	1	1958
143	1958	3	23	-20.5	-18.2	-22.5	0.1	1958
144	1958	3	24	-22.3	-14.9	-29.5	0	1958
145	1958	3	25	-18	-9.9	-26.1	0	1958
146	1958	3	26	-10.1	-1.2	-19.4	0	1958
147	1958	3	27	-1.9	3.6	-8.8	0	1958
148	1958	3	28	2	4.5	-4.2	0	1958
149	1958	3	29	-2	4.7	-4.7	2.1	1958
150	1958	3	30	-6.1	-0.2	-12.8	0.1	1958
151	1958	3	31	1.5	4.8	-3.5	0	1958
152	1958	4	1	3.3	9.4	0.1	0	1958
153	1958	4	2	2.3	6.2	0.4	1	1958
154	1958	4	3	0.3	2.2	-1.1	7.3	1958
155	1958	4	4	-6.3	-0.8	-8.2	0	1958
156	1958	4	5	-5.7	0.5	-11.6	0	1958
157	1958	4	6	-4.1	0.4	-8.2	0	1958
158	1958	4	7	-3.8	1.2	-7	0.1	1958
159	1958	4	8	0	6.3	-5.1	0	1958
160	1958	4	9	0.9	9.5	-4	0	1958
161	1958	4	10	1.5	10	-3.5	0.1	1958
162	1958	4	11	6.2	15.3	-2.1	0	1958
163	1958	4	12	8.7	14.6	2.9	0	1958
164	1958	4	13	9	13.6	4	0.2	1958
165	1958	4	14	8.7	11	6.8	0.6	1958
166	1958	4	15	7.8	12.9	4.5	1.8	1958
167	1958	4	16	9.7	15.6	4.6	0.1	1958
168	1958	4	17	9	15.1	6.6	2.9	1958
169	1958	4	18	6	13.9	4.4	1	1958
170	1958	4	19	5.7	13.3	0.4	0.1	1958
171	1958	4	20	6.5	14.3	3.2	4.7	1958
172	1958	4	21	8.3	15	2.1	0.2	1958
173	1958	4	22	8.6	11.6	7.3	4.2	1958
174	1958	4	23	5.6	10	1.4	0	1958
175	1958	4	24	5.1	10.4	-0.2	0	1958
176	1958	4	25	5.5	12.4	-0.6	0	1958
177	1958	4	26	12.1	17.7	7.2	0.1	1958
178	1958	4	27	-0.3	11.8	-2.5	0.4	1958
179	1958	4	28	0.1	4.8	-2.3	0.1	1958
180	1958	4	29	0.2	6.2	-6.1	0	1958
181	1958	4	30	3.6	11.5	-5.4	0	1958
182	1958	5	1	6.7	13.8	-1.9	0	1958
183	1958	5	2	7.5	14.6	-3.5	0	1958
184	1958	5	3	11.7	18.8	3.8	0	1958
185	1958	5	4	13.1	21.4	1.6	0	1958
186	1958	5	5	14	20.8	7.8	0.1	1958
187	1958	5	6	14.4	19.9	8.1	1.5	1958
188	1958	5	7	10.2	17.9	4.4	0	1958
189	1958	5	8	11.8	21	2.9	0	1958
190	1958	5	9	15.3	23.8	3.4	0	1958
191	1958	5	10	17.4	23.3	10.6	0	1958
192	1958	5	11	15.9	24.2	7.9	0	1958
193	1958	5	12	15.5	22.6	7.9	0	1958
194	1958	5	13	16.1	23.5	6.2	0	1958
195	1958	5	14	18.2	25.5	6.1	0	1958
196	1958	5	15	15.1	22.1	10.1	0.1	1958
197	1958	5	16	15.9	22.7	8.7	0	1958
198	1958	5	17	13.2	19.5	11.2	0.5	1958
199	1958	5	18	7.9	12	4.3	2.5	1958
200	1958	5	19	7.8	12.9	3	0.1	1958
201	1958	5	20	9.6	17.1	2.5	0	1958
202	1958	5	21	12.8	21.6	1.6	0	1958
203	1958	5	22	19.6	25.3	10.1	0	1958
204	1958	5	23	22.3	29.8	10.7	0	1958
205	1958	5	24	19.9	28.6	10.5	0	1958
206	1958	5	25	15.9	23.3	14.4	4.9	1958
207	1958	5	26	14.5	19.6	10.7	0	1958
208	1958	5	27	15.3	21.5	7.3	0.7	1958
209	1958	5	28	11.2	15.3	7.4	3.5	1958
210	1958	5	29	10	15.9	6.4	0.3	1958
211	1958	5	30	5.9	11	2.3	0.1	1958
212	1958	5	31	7.7	13.2	-1.1	0	1958
213	1958	6	1	13.1	19.1	5.3	0	1958
214	1958	6	2	18.8	24.5	10.7	0	1958
215	1958	6	3	21.4	28.2	9.3	0	1958
216	1958	6	4	13.7	25.1	10.6	3.1	1958
217	1958	6	5	9.6	15.6	5.3	0.1	1958
218	1958	6	6	12.4	20	3.1	0	1958
219	1958	6	7	15.4	23.7	7.3	0	1958
220	1958	6	8	16	23.3	6.2	0	1958
221	1958	6	9	18	25.5	7	0	1958
222	1958	6	10	18.3	26.6	7	0	1958
223	1958	6	11	17.9	26.5	7.8	0	1958
224	1958	6	12	10.9	19.2	4.6	0	1958
225	1958	6	13	12.8	20	6.5	0.9	1958
226	1958	6	14	12	18.5	5	1	1958
227	1958	6	15	13.2	17.1	7.5	0.1	1958
228	1958	6	16	13.3	16.4	9.6	6.3	1958
229	1958	6	17	14.4	20.7	6.8	0.1	1958
230	1958	6	18	15.1	20.8	8	0.1	1958
231	1958	6	19	16.6	23	10.8	0	1958
232	1958	6	20	21	26.7	15.6	0	1958
233	1958	6	21	19.8	27.2	11.2	0	1958
234	1958	6	22	17.9	24.8	9.1	0	1958
